X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1930.82201,5097.729639,2236.4010780000003,DDH-008,0.8,22.163552600000003,-17.88967662,0,108.85,109.65,8.8059,2.108628,0.339456,1
1931.1540949999999,5098.5448719999995,2236.685225,DDH-008,1.05,22.163552600000003,-17.88967662,0,109.65,110.7,13.84138805,5.481568,1.8470080000000002,1
1931.504132,5099.404172,2236.98473,DDH-008,0.9,22.163552600000003,-17.88967662,0,110.7,111.6,1.5863399999999999,0.352528,0.10184,1
1931.7195379999998,5099.932972,2237.169041,DDH-008,0.3,22.163552600000003,-17.88967662,0,111.6,111.9,10.946760000000001,1.00986,0.34714,1
1931.952896,5100.505838,2237.368712,DDH-008,1.0,22.163552600000003,-17.88967662,0,111.9,112.9,5.08374,2.519936,0.538276,1
1921.163018,5068.2332,2166.673058,DDH-009,0.3,23.841053100000003,25.69898192,0,80.7,81.0,3.5301,0.119664,0.043876,1
1921.463498,5068.9131609999995,2166.315302,DDH-009,1.35,23.841053100000003,25.69898192,0,81.0,82.35,18.96233528,1.7386080000000002,0.259792,1
1921.7639789999998,5069.593123,2165.957546,DDH-009,0.3,23.841053100000003,25.69898192,0,82.35,82.65,19.59292223,1.92124,0.1432,1
1865.9534879999999,5047.395577,2213.578668,DDH-010,0.64,330.68999289999994,-11.5005823,0,53.42,54.06,14.0625,0.380952,0.027776,1
1865.620092,5047.9894380000005,2213.717236,DDH-010,0.75,330.68999289999994,-11.5005823,0,54.06,54.81,27.04841982,1.233584,0.22682,1
1865.322675,5048.519214,2213.84085,DDH-010,0.49,330.68999289999994,-11.5005823,0,54.81,55.3,28.06106791,1.80528,1.0563639999999999,1
1864.984482,5049.12162,2213.9814109999998,DDH-010,0.92,330.68999289999994,-11.5005823,0,55.3,56.22,28.91630762,0.855892,0.203024,1
1864.612709,5049.783839,2214.135929,DDH-010,0.63,330.68999289999994,-11.5005823,0,56.22,56.85,24.26172117,0.39777199999999996,0.099444,1
1864.293705,5050.3520659999995,2214.268516,DDH-010,0.7,330.68999289999994,-11.5005823,0,56.85,57.55,27.05553726,0.485476,0.198964,1
1863.8859539999999,5051.078372,2214.4379870000002,DDH-010,1.0,330.68999289999994,-11.5005823,0,57.55,58.55,27.74284444,0.7621720000000001,0.422984,1
1863.406248,5051.9328479999995,2214.637365,DDH-010,1.0,330.68999289999994,-11.5005823,0,58.55,59.55,26.218827500000003,0.9613079999999999,0.606304,1
1863.051266,5052.5651609999995,2214.784904,DDH-010,0.48,330.68999289999994,-11.5005823,0,59.55,60.03,22.20265654,0.724524,0.481688,1
1862.821007,5052.97531,2214.8806059999997,DDH-010,0.48,330.68999289999994,-11.5005823,0,60.03,60.51,14.93808665,0.450592,0.41106800000000004,1
1862.5403789999998,5053.475179,2214.9972420000004,DDH-010,0.69,330.68999289999994,-11.5005823,0,60.51,61.2,0.71658,0.071656,0.019903999999999998,1
1862.135027,5054.197212,2215.165716,DDH-010,1.0,330.68999289999994,-11.5005823,0,61.2,62.2,23.93887126,0.9048,0.755312,1
1861.693697,5054.98333,2215.3491440000003,DDH-010,0.84,330.68999289999994,-11.5005823,0,62.2,63.04,26.99401794,0.47506000000000004,0.20586,1
1861.2379760000001,5055.795083,2215.5385530000003,DDH-010,1.06,330.68999289999994,-11.5005823,0,63.04,64.1,26.53609288,0.6170399999999999,0.330416,1
1860.7438789999999,5056.6751939999995,2215.743912,DDH-010,1.0,330.68999289999994,-11.5005823,0,64.1,65.1,19.36473828,2.430168,1.6799680000000001,1
1860.264173,5057.529671,2215.9432899999997,DDH-010,1.0,330.68999289999994,-11.5005823,0,65.1,66.1,29.46907784,0.9741559999999999,0.465208,1
1859.8804079999998,5058.2132520000005,2216.102792,DDH-010,0.6,330.68999289999994,-11.5005823,0,66.1,66.7,28.11457893,0.789788,0.195452,1
1859.616569,5058.683214,2216.21245,DDH-010,0.5,330.68999289999994,-11.5005823,0,66.7,67.2,20.69773423,2.973296,2.212036,1
1859.3047600000002,5059.2386240000005,2216.342046,DDH-010,0.8,330.68999289999994,-11.5005823,0,67.2,68.0,15.60624466,7.975388000000001,4.406512,1
1858.873025,5060.007653000001,2216.521486,DDH-010,1.0,330.68999289999994,-11.5005823,0,68.0,69.0,16.78956903,8.113356,4.712644,1
1858.5132449999999,5060.648511,2216.6710190000003,DDH-010,0.5,330.68999289999994,-11.5005823,0,69.0,69.5,15.05620408,9.224932,5.029964,1
1858.2014359999998,5061.20392,2216.8006149999997,DDH-010,0.8,330.68999289999994,-11.5005823,0,69.5,70.3,10.79784259,7.37718,3.7797160000000005,1
1887.8597809999999,5067.789531,2217.799207,DDH-011,0.95,356.7932542,-12.78266833,0,67.5,68.45,16.85851352,1.570928,1.56702,1
1887.806593,5068.7388789999995,2218.0149300000003,DDH-011,1.0,356.7932542,-12.78266833,0,68.45,69.45,16.33317576,2.9853680000000002,2.46738,1
1887.7534039999998,5069.688226,2218.2306519999997,DDH-011,0.95,356.7932542,-12.78266833,0,69.45,70.4,17.32969915,1.19492,0.809844,1
1887.7002149999998,5070.637573,2218.4463739999997,DDH-011,1.0,356.7932542,-12.78266833,0,70.4,71.4,14.75001525,3.2376400000000003,2.8628400000000003,1
1887.655209,5071.440866,2218.6289079999997,DDH-011,0.65,356.7932542,-12.78266833,0,71.4,72.05,22.33707601,1.468504,1.625984,1
1887.6279329999998,5071.927711,2218.739535,DDH-011,0.35,356.7932542,-12.78266833,0,72.05,72.4,0.83034,4.89126,0.086992,1
1914.5755359999998,5082.601525,2218.768159,DDH-012,0.4,15.7976315,-10.682306,0,85.6,86.0,0.6550199999999999,1.675268,0.035727999999999996,1
1914.675857,5082.956107,2218.83767,DDH-012,0.35,15.7976315,-10.682306,0,86.0,86.35,2.1411599999999997,2.866869121351201,0.055512,1
1914.8564350000001,5083.5943560000005,2218.96279,DDH-012,1.0,15.7976315,-10.682306,0,86.35,87.35,0.47868,0.22736399999999998,0.031912,1
1915.057077,5084.303522,2219.1018129999998,DDH-012,0.5,15.7976315,-10.682306,0,87.35,87.85,4.77324,8.770883999999999,0.119332,1
1915.2175899999997,5084.870854,2219.21303,DDH-012,0.7,15.7976315,-10.682306,0,87.85,88.55,5.69844,9.810052,0.166204,1
1874.211716,5038.93948,2178.7274829999997,DDH-013,1.0,335.18913139999995,29.35666933,0,46.15,47.15,11.79488233,4.015512,1.669848,1
1873.845977,5039.730616,2178.2372379999997,DDH-013,1.0,335.18913139999995,29.35666933,0,47.15,48.15,12.57358825,6.205999964986494,2.7581108526129405,1
1873.544243,5040.3833030000005,2177.832786,DDH-013,0.65,335.18913139999995,29.35666933,0,48.15,48.8,13.66354076,4.613527798059147,2.629464235512644,1
1873.242509,5041.035989999999,2177.428334,DDH-013,1.0,335.18913139999995,29.35666933,0,48.8,49.8,18.445195899999998,2.371036,1.111544,1
1872.8767710000002,5041.827126,2176.938089,DDH-013,1.0,335.18913139999995,29.35666933,0,49.8,50.8,24.15866009,2.043104,0.67594,1
1872.5110329999998,5042.618261,2176.447845,DDH-013,1.0,335.18913139999995,29.35666933,0,50.8,51.8,21.00730557,2.613484,1.0846719999999999,1
1872.145295,5043.409396999999,2175.9576,DDH-013,1.0,335.18913139999995,29.35666933,0,51.8,52.8,13.30037687,3.6681239999999997,1.968564,1
1871.889278,5043.963192,2175.6144280000003,DDH-013,0.4,335.18913139999995,29.35666933,0,52.8,53.2,13.86727133,0.6706439999999999,0.86436,1
1871.752127,5044.259868,2175.4305870000003,DDH-013,0.35,335.18913139999995,29.35666933,0,53.2,53.55,8.477219999999999,0.24752399999999997,0.43326800000000004,1
1871.541827,5044.714771,2175.148696,DDH-013,0.8,335.18913139999995,29.35666933,0,53.55,54.35,13.85426405,0.8817719999999999,1.4681680000000001,1
1909.118243,5068.26304,2184.207422,DDH-014,0.75,14.649904199999998,14.46667445,0,71.0,71.75,5.12922,0.115308,0.095428,1
1909.3019129999998,5068.96565,2184.0200600000003,DDH-014,0.75,14.649904199999998,14.46667445,0,71.75,72.5,13.75850504,1.106284,1.8846319999999999,1
1909.4917050000001,5069.69168,2183.826452,DDH-014,0.8,14.649904199999998,14.46667445,0,72.5,73.3,4.113659999999999,0.202704,0.313992,1
1909.6814969999998,5070.417711,2183.632844,DDH-014,0.75,14.649904199999998,14.46667445,0,73.3,74.05,14.05823488,0.483996,0.7338,1
1909.840678,5071.026639,2183.470463,DDH-014,0.55,14.649904199999998,14.46667445,0,74.05,74.6,0.05976,0.07174,0.007972,1
1932.536733,5078.427325,2185.731622,DDH-015,0.55,28.0305378,10.59391182,0,88.05,88.6,5.27346,0.42187600000000003,0.710936,1
1932.8023440000002,5078.926225,2185.62591,DDH-015,0.6,28.0305378,10.59391182,0,88.6,89.2,2.98596,0.21467600000000003,0.28883600000000004,1
1933.1026,5079.4901979999995,2185.50641,DDH-015,0.7,28.0305378,10.59391182,0,89.2,89.9,4.47138,0.24642399999999998,0.294116,1
1933.425952,5080.097554999999,2185.3777170000003,DDH-015,0.7,28.0305378,10.59391182,0,89.9,90.6,12.54839968,1.579156,2.455588,1
1905.074838,5053.0602229999995,2152.77551,DDH-016,0.85,14.598556099999998,42.73243048,0,72.03,72.88,2.02062,0.356576,0.095088,1
1905.243311,5053.707066,2152.1580059999997,DDH-016,0.97,14.598556099999998,42.73243048,0,72.88,73.85,8.37624,5.821784,0.48712799999999995,1
1905.360872,5054.158435,2151.7271100000003,DDH-016,0.3,14.598556099999998,42.73243048,0,73.85,74.15,3.6483,3.090112,0.147528,1
1905.416412,5054.371679999999,2151.523538,DDH-016,0.3,14.598556099999998,42.73243048,0,74.15,74.45,1.25346,0.8396319999999999,0.07560800000000001,1
1886.1070789999999,5040.719618,2158.682045,DDH-017,0.35,352.3039483,47.67770023,0,57.75,58.1,14.80601175,1.242508,1.753896,1
1886.073266,5040.969831,2158.404782,DDH-017,0.4,352.3039483,47.67770023,0,58.1,58.5,12.85432852,0.48188000000000003,0.51374,1
1886.025928,5041.32013,2158.016613,DDH-017,0.65,352.3039483,47.67770023,0,58.5,59.15,10.97769948,1.3509200000000001,2.390088,1
1885.9628120000002,5041.787195,2157.499054,DDH-017,0.75,352.3039483,47.67770023,0,59.15,59.9,2.517,0.163804,0.227728,1
1830.049902,5041.599098,2217.2865920000004,DDH-018,0.7,305.2986039,-11.95396392,0,69.2,69.9,13.60138041,5.710864,2.4560720000000003,1
1829.41114,5042.0513439999995,2217.452293,DDH-018,0.9,305.2986039,-11.95396392,0,69.9,70.8,16.55231772,3.3506199999999997,2.110092,1
